"","masterid","comid","hydro.endpoints","deltah_final","ChannelType","p50"
"1","904M21729",20341969,"DS_Mag_50",0.280928821178821,"NAT",0
"2","SMC08094",22560942,"DS_Mag_50",15.0697981185481,"SB2",0
"3","SMC09118",22560942,"DS_Mag_50",15.0697981185481,"SB2",0
"4","904M21713",20342575,"DS_Mag_50",0.762981268731267,"HB",0
"5","801M12625",22563212,"DS_Mag_50",-8.69349966699967,"HB",0
"6","SMC02417",20342575,"DS_Mag_50",0.762981268731267,"HB",0
"7","SMC13214",22560942,"DS_Mag_50",15.0697981185481,"SB2",0
"8","SMC01174",20329182,"DS_Mag_50",9.02237279387279,"NAT",0
"9","801M12611",22560942,"DS_Mag_50",15.0697981185481,"SB2",0
"10","SMC03737",20342575,"DS_Mag_50",0.762981268731267,"HB",0
"11","910M24979",20333704,"DS_Mag_50",5.67700932400932,"NAT",0
"12","902M18929",22548267,"DS_Mag_50",2.32387204462204,"NAT",0
"13","903M20177",20341471,"DS_Mag_50",1.81591366966367,"NAT",0
"14","SMC32718",20332828,"DS_Mag_50",1.42500116550116,"NAT",0
"15","801M12675",22560942,"DS_Mag_50",15.0697981185481,"SB0",0
"16","907CONECR",20332804,"DS_Mag_50",0.368305444555444,"NAT",0
"17","904M21782",20342575,"DS_Mag_50",0.762981268731267,"HB",0
"18","902S01097",22549067,"DS_Mag_50",1.84658000333,"NAT",0
"19","905SDYSA7",20330890,"DS_Mag_50",0.0525892440892443,"NAT",0
"20","907SDSVC3",20332430,"DS_Mag_50",0.0801383616383615,"NAT",0
"21","904CBESC5",20341969,"DS_Mag_50",0.280928821178821,"NAT",0
"22","905BCN1xx",20330882,"DS_Mag_50",0.16945313020313,"NAT",0
"23","901SJSMT2",20348717,"DS_Mag_50",0.223614468864469,"NAT",0
"24","901SMCSMR",20350859,"DS_Mag_50",0.0502321012321012,"NAT",0
"25","801M12625",22563212,"Wet_BFL_Mag_10",-87.3711191308692,"HB",0
"26","SMC02206",22527369,"Wet_BFL_Mag_10",0.650374225774224,"SB2",0
"27","SMC06302",22527369,"Wet_BFL_Mag_10",0.650374225774224,"SB2",0
