"","metric","Index","Hydro_endpoint","SmoothingFunc","ChosenSmth","ModelstoUse","Threshold","BioThresh","Lower","Upper","MetricCurve"
"1","csci_DS_Mag_50","csci","DS_Mag_50",6,6,"Yes","NAT",0.79,-10.7138647980125,10.3609923839238,"csci_DS_Mag_50_6"
"2","csci_DS_Mag_50","csci","DS_Mag_50",6,6,"Yes","HB",0.67,-24.4146852806944,29.2186977663974,"csci_DS_Mag_50_6"
"3","csci_DS_Mag_50","csci","DS_Mag_50",6,6,"Yes","SB0",0.78,-12.0861109589704,11.6818028757938,"csci_DS_Mag_50_6"
"4","csci_DS_Mag_50","csci","DS_Mag_50",6,6,"Yes","SB1",0.79,-10.7138647980125,10.3609923839238,"csci_DS_Mag_50_6"
"5","csci_DS_Mag_50","csci","DS_Mag_50",6,6,"Yes","SB2",0.75,-15.8037617728112,15.4734295507655,"csci_DS_Mag_50_6"
"6","csci_FA_Mag","csci","FA_Mag",6,6,"Yes","NAT",0.79,-113.04758908119,67.5959428696591,"csci_FA_Mag_6"
"7","csci_FA_Mag","csci","FA_Mag",6,6,"Yes","HB",0.67,-213.818430104633,196.039744668808,"csci_FA_Mag_6"
"8","csci_FA_Mag","csci","FA_Mag",6,6,"Yes","SB0",0.78,-123.169581177119,77.8550398332423,"csci_FA_Mag_6"
"9","csci_FA_Mag","csci","FA_Mag",6,6,"Yes","SB1",0.79,-113.04758908119,67.5959428696591,"csci_FA_Mag_6"
"10","csci_FA_Mag","csci","FA_Mag",6,6,"Yes","SB2",0.75,-150.469678349211,107.422086942585,"csci_FA_Mag_6"
"11","csci_Peak_10","csci","Peak_10",6,6,"Yes","NAT",0.79,-2406.52811605249,3918.07351700487,"csci_Peak_10_6"
"12","csci_Peak_10","csci","Peak_10",6,6,"Yes","HB",0.67,-51409.3499565775,6457.04077210778,"csci_Peak_10_6"
"13","csci_Peak_10","csci","Peak_10",6,6,"Yes","SB0",0.78,-3022.96154841128,4183.87347270509,"csci_Peak_10_6"
"14","csci_Peak_10","csci","Peak_10",6,6,"Yes","SB1",0.79,-2406.52811605249,3918.07351700487,"csci_Peak_10_6"
"15","csci_Peak_10","csci","Peak_10",6,6,"Yes","SB2",0.75,-14818.5427820515,4888.9717690355,"csci_Peak_10_6"
"16","csci_Peak_2","csci","Peak_2",6,6,"Yes","NAT",0.79,-1230.88294709613,524.783859526413,"csci_Peak_2_6"
"17","csci_Peak_2","csci","Peak_2",6,6,"Yes","HB",0.67,-2502.64689005328,1333.56522827593,"csci_Peak_2_6"
"18","csci_Peak_2","csci","Peak_2",6,6,"Yes","SB0",0.78,-1331.59794425161,604.759167771872,"csci_Peak_2_6"
"19","csci_Peak_2","csci","Peak_2",6,6,"Yes","SB1",0.79,-1230.88294709613,524.783859526413,"csci_Peak_2_6"
"20","csci_Peak_2","csci","Peak_2",6,6,"Yes","SB2",0.75,-1623.11278299025,823.721326300524,"csci_Peak_2_6"
"21","csci_Peak_5","csci","Peak_5",6,6,"Yes","NAT",0.79,-1933.48233788985,3116.60566199112,"csci_Peak_5_6"
"22","csci_Peak_5","csci","Peak_5",6,6,"Yes","HB",0.67,-51409.3499565775,8059.89071245416,"csci_Peak_5_6"
"23","csci_Peak_5","csci","Peak_5",6,6,"Yes","SB0",0.78,-2355.42111507415,3381.11324945197,"csci_Peak_5_6"
"24","csci_Peak_5","csci","Peak_5",6,6,"Yes","SB1",0.79,-1933.48233788985,3116.60566199112,"csci_Peak_5_6"
"25","csci_Peak_5","csci","Peak_5",6,6,"Yes","SB2",0.75,-4233.61177368946,4098.98984864703,"csci_Peak_5_6"
"26","csci_SP_Mag","csci","SP_Mag",3,3,"Yes","NAT",0.79,-51409.3499565775,653.856558838459,"csci_SP_Mag_3"
"27","csci_SP_Mag","csci","SP_Mag",3,3,"Yes","HB",0.67,-51409.3499565775,1660.4781494307,"csci_SP_Mag_3"
"28","csci_SP_Mag","csci","SP_Mag",3,3,"Yes","SB0",0.78,-51409.3499565775,761.340359499839,"csci_SP_Mag_3"
"29","csci_SP_Mag","csci","SP_Mag",3,3,"Yes","SB1",0.79,-51409.3499565775,653.856558838459,"csci_SP_Mag_3"
"30","csci_SP_Mag","csci","SP_Mag",3,3,"Yes","SB2",0.75,-51409.3499565775,1043.0842674,"csci_SP_Mag_3"
"31","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",6,6,"Yes","NAT",0.79,-15.2295007805454,8.42973373728506,"csci_Wet_BFL_Mag_10_6"
"32","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",6,6,"Yes","HB",0.67,-29.0355877864622,8059.89071245416,"csci_Wet_BFL_Mag_10_6"
"33","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",6,6,"Yes","SB0",0.78,-16.3786211205846,9.71553212365525,"csci_Wet_BFL_Mag_10_6"
"34","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",6,6,"Yes","SB1",0.79,-15.2295007805454,8.42973373728506,"csci_Wet_BFL_Mag_10_6"
"35","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",6,6,"Yes","SB2",0.75,-19.6806316449651,13.9219507520692,"csci_Wet_BFL_Mag_10_6"
"36","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",6,6,"Yes","NAT",0.79,-318.425589924261,37.8791267463341,"csci_Wet_BFL_Mag_50_6"
"37","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",6,6,"Yes","HB",0.67,-51409.3499565775,8059.89071245416,"csci_Wet_BFL_Mag_50_6"
"38","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",6,6,"Yes","SB0",0.78,-326.605585487361,42.8044027082691,"csci_Wet_BFL_Mag_50_6"
"39","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",6,6,"Yes","SB1",0.79,-318.425589924261,37.8791267463341,"csci_Wet_BFL_Mag_50_6"
"40","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",6,6,"Yes","SB2",0.75,-348.737882790292,57.2183516160699,"csci_Wet_BFL_Mag_50_6"
"41","csci_Q99","csci","Q99",3,3,"Yes","NAT",0.79,-1878.80032469536,8059.89071245416,"csci_Q99_3"
"42","csci_Q99","csci","Q99",3,3,"Yes","HB",0.67,-7895.97431245438,8059.89071245416,"csci_Q99_3"
"43","csci_Q99","csci","Q99",3,3,"Yes","SB0",0.78,-2380.23111327146,8059.89071245416,"csci_Q99_3"
"44","csci_Q99","csci","Q99",3,3,"Yes","SB1",0.79,-1878.80032469536,8059.89071245416,"csci_Q99_3"
"45","csci_Q99","csci","Q99",3,3,"Yes","SB2",0.75,-3884.52383593113,8059.89071245416,"csci_Q99_3"
